"Year","Cum_Int"
1985,6.1836
1989,49.8211
1995,75.2
1996,77.823
1997,31.6451
1998,16.0082
1999,92.3617
2000,26.2528
2002,16.626
2003,149.9232
2004,25.0378
2005,13.3857
2007,43.9613
2008,170.7191
2010,96.5569
2011,189.0413
2012,126.7068
2013,405.0192
2014,106.3196
2015,114.4572
2016,18.0356
2017,65.0433
2018,94.2104
2019,297.1773
2020,284.823
2021,384.5739
2022,6.8999
2023,24.4854
2024,285.9614
2025,515.1516
2026,342.656
2027,408.0471
2028,418.5567
2029,641.097
2030,688.755
2031,552.836
2032,814.0572
2033,745.107
2034,375.2281
2035,546.1052
2036,609.6683
2037,662.2535
2038,547.5508
2039,693.427
2040,352.0406
2041,471.3239
2042,749.71
2043,749.71
2044,751.764
2045,537.2136
2046,691.1686
2047,255.3029
2048,615.3643
2049,850.9317
2050,515.637
2051,182.6276
2052,488.3616
2053,554.6545
2054,405.4395
2055,177.9839
2056,495.9034
2057,832.346
2058,856.5112
2059,954.402
2060,448.2753
2061,725.5993
2062,584.1275
2063,33.5961
2064,371.69
2065,344.4952
2066,757.1925
2067,724.275
2068,702.2158
2069,739.5265
2070,739.5265
2071,591.6692
2072,518.6528
2073,770.2548
2074,821.907
2075,821.907
2076,709.317
2077,797.5524
2078,739.6296
2079,586.7192
2080,719.4828
2081,717.517
2082,677.8142
2083,832.784
2084,824.106
2085,846.07
2086,846.07
2087,723.216
2088,718.641
2089,823.606
2090,805.498
2091,750.805
2092,752.862
2093,710.6917
2094,820.4963
2095,929.801
2096,932.3484
2097,685.7424
2098,636.6672
2099,860.816
2100,860.816
