"Year","Cum_Int"
1987,11.0904
1989,9.8
1990,24.5165
1991,54.6546
1993,20.796
1994,9.493
1996,5.9196
1997,69.7152
1999,13.59
2000,134.9913
2002,4.7805
2003,77.3236
2004,34.5256
2006,141.3054
2007,132.7938
2008,38.7981
2009,27.9709
2010,13.2629
2011,136.6507
2012,554.3416
2013,336.6027
2014,84.158
2015,151.6947
2016,81.9367
2017,221.1152
2018,278.3026
2019,352.4753
2020,15.1788
2021,91.999
2022,533.7948
2023,157.06
2024,21.0606
2025,186.1165
2026,346.6332
2027,486.621
2028,318.9639
2029,4.6375
2030,99.2986
2031,141.238
2032,68.0302
2033,155.5879
2034,64.6362
2035,246.6871
2036,446.5267
2037,289.3187
2038,154.7405
2039,201.4342
2040,535.9981
2041,526.5423
2042,348.1056
2043,214.4723
2044,840.885
2045,630.2974
2046,428.0454
2047,674.1869
2048,383.0771
2049,152.1921
2050,153.9236
2051,169.6183
2052,563.137
2053,661.3375
2054,413.1876
2055,848.406
2056,525.6439
2057,647.758
2058,479.7862
2059,707.5187
2060,529.9221
2061,759.6124
2062,917.7181
2063,1167.9635
2064,1026.7095
2065,1005.9035
2066,1005.9035
2067,806.2071
2068,651.702
2069,950.2045
2070,973.6571
2071,1105.9135
2072,1009.0291
2073,766.5077
2074,721.161
2075,866.364
2076,840.1992
2077,328.2192
2078,547.2324
2079,1063.0625
2080,1079.9464
2081,1217.129
2082,1217.129
2083,1217.129
2084,1220.4636
2085,1217.129
2086,1217.129
2087,994.0574
2088,896.3681
2089,1253.775
2090,1253.775
2091,1253.775
2092,1257.21
2093,1253.775
2094,1253.775
2095,1253.775
2096,1257.21
2097,1253.775
2098,1253.775
2099,1253.775
2100,1253.775
