"Year","Cum_Int"
1986,98.4408
1987,85.2118
1989,20.629
1996,86.0247
1997,130.0902
1998,54.4992
2000,128.9826
2001,101.8019
2004,255.0294
2005,10.5112
2006,80.8539
2007,79.6865
2009,190.6077
2010,453.0742
2011,157.2806
2012,72.7398
2013,186.6703
2014,207.2548
2015,24.8205
2016,224.5786
2017,579.8793
2018,13.2216
2019,30.3946
2020,205.3269
2021,20.0832
2022,489.2197
2023,739.6994
2024,611.5557
2025,359.5261
2026,74.5577
2027,152.0772
2028,33.9246
2029,39.249
2030,401.1753
2031,497.1289
2032,393.3742
2033,116.0706
2034,325.0668
2035,68.1693
2037,90.158
2038,317.9485
2039,495.6583
2040,398.3449
2041,306.7978
2042,286.3016
2043,330.8305
2044,344.8737
2045,563.2667
2046,810.2548
2047,584.6134
2048,650.6376
2049,1069.742
2050,644.2567
2051,365.5484
2052,1082.748
2053,716.2262
2054,619.778
2055,735.7317
2056,1003.2137
2057,902.0342
2058,516.8086
2059,133.6141
2060,586.9105
2061,537.0702
2062,670.8771
2063,1006.378
2064,1009.1352
2065,454.1715
2066,717.7794
2067,687.1558
2068,874.5094
2069,1027.7142
2070,666.8133
2071,780.5925
2072,711.1412
2073,590.898
2074,514.9971
2075,709.5525
2076,519.7987
2077,696.1034
2078,1107.3508
2079,1085.4005
2080,1085.5396
2081,659.1446
2082,737.5988
2083,466.5471
2084,1098.4974
2085,1132.6315
2086,1108.5786
2087,386.9789
2088,527.0496
2089,897.9579
2090,827.7028
2091,523.3132
2092,344.7866
2093,953.7854
2094,306.3316
2095,653.2804
2096,642.5425
2097,216.6725
2098,507.3955
2099,911.7554
2100,759.0316
