"Model","Year","ssp126","ssp245","ssp585"
"ACCESS-ESM1-5",2046,691.1686,861.4365,750.1046
"ACCESS-ESM1-5",2047,255.3029,861.4365,590.5044
"ACCESS-ESM1-5",2048,615.3643,841.0935,740.418
"ACCESS-ESM1-5",2049,850.9317,864.101,758.4399
"ACCESS-ESM1-5",2050,515.637,864.101,771.6006
"ACCESS-ESM1-5",2051,182.6276,591.8353,590.0485
"ACCESS-ESM1-5",2052,488.3616,603.1654,1061.6162
"ACCESS-ESM1-5",2053,554.6545,361.8689,1237.9705
"ACCESS-ESM1-5",2054,405.4395,517.8019,1237.9705
"ACCESS-ESM1-5",2055,177.9839,871.517,1237.9705
"ACCESS-ESM1-5",2056,495.9034,945.0486,1241.3622
"ACCESS-ESM1-5",2057,832.346,942.4665,1237.9705
"ACCESS-ESM1-5",2058,856.5112,942.4665,1237.9705
"ACCESS-ESM1-5",2059,954.402,942.4665,1237.9705
"ACCESS-ESM1-5",2060,448.2753,945.0486,1241.3622
"ACCESS-ESM1-5",2061,725.5993,942.4665,1237.9705
"ACCESS-ESM1-5",2062,584.1275,942.4665,1237.9705
"ACCESS-ESM1-5",2063,33.5961,942.4665,1237.9705
"ACCESS-ESM1-5",2064,371.69,945.0486,1241.3622
"ACCESS-ESM1-5",2065,344.4952,942.4665,1237.9705
"ACCESS-ESM1-5",2066,757.1925,788.6134,1237.9705
"ACCESS-ESM1-5",2067,724.275,863.371,1237.9705
"ACCESS-ESM1-5",2068,702.2158,865.7364,1241.3622
"ACCESS-ESM1-5",2069,739.5265,784.1162,1237.9705
"ACCESS-ESM1-5",2070,739.5265,776.063,1237.9705
"ACCESS-ESM1-5",2071,591.6692,776.063,1237.9705
"ACCESS-ESM1-5",2072,518.6528,401.5072,1241.3622
"ACCESS-ESM1-5",2073,770.2548,554.7795,1237.9705
"ACCESS-ESM1-5",2074,821.907,714.3415,1237.9705
"ACCESS-ESM1-5",2075,821.907,703.4772,1237.9705
"ACCESS-ESM1-5",2076,709.317,668.2512,1241.3622
"ACCESS-ESM1-5",2077,797.5524,661.9757,1237.9705
"ACCESS-ESM1-5",2078,739.6296,759.8028,1237.9705
"ACCESS-ESM1-5",2079,586.7192,989.004,1237.9705
"ACCESS-ESM1-5",2080,719.4828,991.7136,1241.3622
"ACCESS-ESM1-5",2081,717.517,989.004,1237.9705
"ACCESS-ESM1-5",2082,677.8142,989.004,1237.9705
"ACCESS-ESM1-5",2083,832.784,870.1604,1237.9705
"ACCESS-ESM1-5",2084,824.106,880.5228,1241.3622
"ACCESS-ESM1-5",2085,846.07,878.117,1237.9705
"ACCESS-ESM1-5",2086,846.07,682.4402,1237.9705
"ACCESS-ESM1-5",2087,723.216,634.724,1237.9705
"ACCESS-ESM1-5",2088,718.641,880.2189,1241.3622
"ACCESS-ESM1-5",2089,823.606,919.7635,1237.9705
"ACCESS-ESM1-5",2090,805.498,948.9137,1237.9705
"ACCESS-ESM1-5",2091,750.805,1036.089,1237.9705
"ACCESS-ESM1-5",2092,752.862,1038.9276,1241.3622
