"Year","Cum_Int"
1983,6.55
1984,30.216
1985,193.9933
1986,7.9083
1988,17.5531
1989,7.2936
1990,240.371
1991,76.4005
1992,63.5135
1993,48.7375
1994,58.4313
1995,157.1804
1996,134.3946
1997,32.853
1998,10.8563
2000,25.2501
2002,12.8021
2003,12.4964
2006,14.99
2007,25.8456
2008,36.178
2009,4.567
2010,41.3025
2011,68.968
2012,112.8944
2013,146.7902
2014,341.684
2015,271.3606
2016,292.7258
2017,401.1123
2018,282.2214
2019,381.8517
2020,121.5863
2021,386.2076
2022,319.0972
2023,268.6953
2024,176.95
2025,388.054
2026,171.8058
2027,71.2853
2028,369.7501
2029,513.4782
2030,424.3556
2031,578.0111
2032,382.6592
2033,407.2953
2034,479.7161
2035,238.7101
2036,381.9714
2037,46.3416
2038,402.0406
2039,709.8974
2040,912.6713
2041,353.439
2042,449.0044
2043,648.3022
2044,742.4036
2045,665.6538
2046,670.1896
2047,449.2315
2048,735.024
2049,730.9636
2050,1038.1695
2051,943.6359
2052,709.803
2053,708.8457
2054,670.9558
2055,960.6561
2056,859.4068
2057,562.0726
2058,589.3308
2059,991.7302
2060,945.2702
2061,827.3636
2062,939.2494
2063,1128.6895
2064,996.3687
2065,877.321
2066,1161.3006
2067,1337.214
2068,1097.9494
2069,866.9787
2070,1005.1442
2071,1109.6365
2072,1112.6766
2073,1142.8485
2074,1220.487
2075,1220.487
2076,1223.8308
2077,1220.487
2078,1220.487
2079,1220.487
2080,1223.8308
2081,1220.487
2082,1220.487
2083,1220.487
2084,1249.6635
2085,1359.6235
2086,1509.0925
2087,1509.0925
2088,1513.227
2089,1509.0925
2090,1509.0925
2091,1509.0925
2092,1513.227
2093,1509.0925
2094,1509.0925
2095,1509.0925
2096,1311.5786
2097,1583.5525
2098,1583.5525
2099,1583.5525
2100,1583.5525
