"Year","Cum_Int"
1983,8.9138
1984,34.1672
1990,3.6111
1991,40.9258
1996,119.6914
1998,53.3403
1999,158.8848
2000,191.8842
2001,43.9513
2002,112.7617
2003,69.6679
2004,135.0823
2005,22.8446
2006,25.7502
2011,38.9997
2012,107.7012
2013,59.3042
2014,287.1726
2015,226.3141
2016,103.6368
2017,17.2962
2018,90.8809
2019,27.4231
2020,90.4017
2021,237.0748
2022,289.7987
2023,350.546
2024,288.9603
2025,462.1981
2026,158.5745
2027,388.6746
2028,137.953
2029,123.3071
2030,310.8381
2031,640.6845
2032,262.035
2033,149.7204
2034,236.8994
2035,393.3898
2036,290.5652
2037,269.9212
2038,299.3383
2039,248.3749
2040,527.9648
2041,361.9242
2042,357.6356
2043,379.8116
2044,595.8624
2045,407.0704
2046,401.8999
2047,393.5845
2048,443.5925
2049,640.1735
2050,634.9118
2051,450.3979
2052,626.6841
2053,437.8158
2054,335.559
2055,424.6482
2056,630.801
2057,526.8574
2058,446.4561
2059,265.2196
2060,292.5749
2061,649.7374
2062,678.3065
2063,676.637
2064,678.4908
2065,522.4847
2066,398.9102
2067,509.1497
2068,458.6951
2069,627.4964
2070,586.7001
2071,480.2224
2072,510.111
2073,271.9775
2074,142.9348
2075,482.6322
2076,481.3282
2077,395.4271
2078,360.1139
2079,403.2677
2080,407.3436
2081,545.2925
2082,732.9096
2083,826.433
2084,828.6972
2085,767.6362
2086,630.0476
2087,597.126
2088,402.7386
2089,697.6975
2090,697.6975
2091,258.1142
2092,534.4846
2093,302.6297
2094,624.9664
2095,410.2941
2096,720.0684
2097,653.4635
2098,257.9382
2099,392.166
2100,484.076
