"Year","Cum_Int"
1987,11.0904
1989,9.8
1990,24.5165
1991,54.6546
1993,20.796
1994,9.493
1996,5.9196
1997,69.7152
1999,13.59
2000,134.9913
2002,4.7805
2003,77.3236
2004,34.5256
2006,141.3054
2007,132.7938
2008,38.7981
2009,27.9709
2010,13.2629
2011,136.6507
2012,554.3416
2013,336.6027
2014,84.158
2015,176.642
2016,9.2043
2017,200.9216
2018,159.0391
2019,7.6506
2020,73.7604
2021,28.6574
2022,457.7838
2023,95.2914
2024,119.4466
2025,43.0748
2026,351.82
2027,431.6562
2028,514.2786
2029,120.5474
2030,230.4082
2031,261.0493
2032,220.1575
2033,318.0274
2034,423.569
2035,589.834
2036,512.6972
2037,298.3091
2038,159.3295
2039,393.2916
2040,218.4537
2041,564.2788
2042,842.8945
2043,121.0193
2044,260.2087
2045,278.1388
2046,523.0304
2047,523.0591
2048,276.1556
2049,448.3386
2050,280.6603
2051,399.8675
2052,581.7476
2053,322.803
2054,256.9217
2055,734.453
2056,779.7676
2057,645.3453
2058,462.777
2059,445.7005
2060,287.3221
2061,428.9911
2062,577.482
2063,343.5437
2064,142.4134
2065,116.1059
2066,185.6359
2067,531.6681
2068,382.0733
2069,330.7148
2070,144.6871
2071,66.2926
2072,503.517
2073,758.9863
2074,700.9936
2075,199.5506
2076,591.3039
2077,199.7822
2078,477.5176
2079,502.1629
2080,344.2448
2081,355.136
2082,287.7107
2083,334.8517
2084,67.7845
2085,584.0202
2086,233.394
2087,261.5851
2088,452.8314
2089,317.3239
2090,381.042
2091,547.7385
2092,571.2425
2093,711.2712
2094,414.8242
2095,49.0374
2096,459.7632
2097,357.8811
2098,398.5721
2099,582.298
2100,109.6343
