"Year","Cum_Int"
1984,12.9708
1989,140.7881
1991,44.0199
1999,14.472
2001,8.763
2002,61.9789
2003,235.1763
2004,168.5789
2005,125.42
2008,77.7147
2009,63.7586
2010,120.6368
2011,505.8051
2012,92.1052
2013,157.145
2014,229.252
2015,301.0733
2016,166.6018
2017,362.1053
2018,89.2995
2020,80.7253
2021,327.5842
2022,319.4492
2023,300.2273
2024,551.9288
2025,302.9256
2026,286.9263
2027,532.5809
2028,622.2161
2029,651.1602
2030,428.4236
2031,492.1108
2032,575.0018
2033,369.3343
2034,532.1781
2035,437.6694
2036,436.1044
2037,141.4674
2038,301.2114
2039,398.2551
2040,307.613
2041,732.1095
2042,757.2203
2043,548.4934
2044,731.8972
2045,442.663
2046,695.9675
2047,585.2588
2048,678.0936
2049,615.3571
2050,659.3342
2051,689.4972
2052,624.2179
2053,646.6581
2054,688.4006
2055,787.6079
2056,940.24
2057,911.624
2058,768.2106
2059,892.863
2060,722.5307
2061,897.656
2062,757.2615
2063,1007.108
2064,1009.8672
2065,838.2224
2066,957.4315
2067,957.4315
2068,774.7387
2069,806.9962
2070,963.454
2071,898.736
2072,756.231
2073,792.712
2074,542.238
2075,641.4178
2076,564.7092
2077,791.3777
2078,940.678
2079,862.5326
2080,303.4823
2081,881.1214
2082,963.004
2083,1070.1716
2084,1100.2326
2085,1097.2265
2086,944.3759
2087,576.6165
2088,970.9248
2089,968.272
2090,968.272
2091,968.272
2092,871.6912
2093,856.7892
2094,954.5092
2095,444.4553
2096,552.5197
2097,630.1526
2098,903.594
2099,971.4987
2100,999.0327
