"Year","Cum_Int"
1983,8.9138
1984,34.1672
1990,3.6111
1991,40.9258
1996,119.6914
1998,53.3403
1999,158.8848
2000,191.8842
2001,43.9513
2002,112.7617
2003,69.6679
2004,135.0823
2005,22.8446
2006,25.7502
2011,38.9997
2012,107.7012
2013,59.3042
2014,288.6486
2015,382.5855
2016,179.7213
2017,78.1006
2018,392.2504
2019,609.56
2020,159.9846
2021,16.0374
2022,93.42
2023,91.5042
2024,30.607
2025,68.1672
2026,44.5562
2027,190.749
2028,348.5829
2029,511.2502
2030,198.0292
2031,165.3153
2032,155.8582
2033,547.4784
2034,249.7336
2035,155.4734
2036,559.3405
2037,657.4745
2038,562.0056
2039,456.7863
2040,151.2119
2041,580.358
2042,662.986
2043,488.0073
2044,518.9598
2045,213.1235
2046,268.0809
2047,250.9278
2048,356.8752
2049,399.6672
2050,569.115
2051,441.8196
2052,200.3348
2053,70.8221
2054,401.3965
2055,625.5735
2056,523.947
2057,187.3399
2058,157.3233
2059,426.8114
2060,551.4846
2061,275.0276
2062,429.12
2063,309.644
2064,634.9368
2065,614.0582
2066,349.2501
2067,436.2095
2068,481.8042
2069,519.2848
2070,316.2313
2071,501.4534
2072,278.8258
2073,557.6962
2074,289.3682
2075,137.4006
2076,191.8977
2077,315.4348
2078,274.7993
2079,204.9849
2080,256.0117
2081,85.0929
2082,246.3506
2083,607.959
2084,476.6155
2085,428.1509
2086,136.391
2087,120.2067
2088,130.2487
2089,286.2281
2090,376.8561
2091,209.041
2092,324.4578
2093,37.1689
2094,124.9884
2095,378.6276
2096,328.9699
2097,113.9118
2098,71.5455
2099,166.1249
2100,13.1686
