"Year","Cum_Int"
1984,15.7102
1987,41.3652
1988,56.1321
1989,22.6745
1992,17.094
1993,9.592
1994,33.7896
1995,23.397
1996,24.966
1997,13.332
1999,7.9175
2001,324.5598
2002,353.5088
2003,13.7357
2004,162.3346
2005,150.3129
2006,13.178
2007,12.8084
2008,112.7021
2009,32.893
2010,7.5594
2011,36.5816
2012,139.8092
2013,52.3386
2014,161.3766
2015,209.4113
2016,550.5797
2017,142.3894
2018,56.507
2019,80.0171
2020,307.753
2021,263.6324
2022,269.189
2023,241.2502
2024,489.865
2025,571.6892
2026,298.8352
2028,115.3749
2029,208.2082
2030,618.7951
2031,558.4472
2032,830.1409
2033,609.7425
2034,648.9326
2035,409.7947
2036,674.5715
2037,159.8494
2038,18.8876
2039,259.8402
2040,196.5099
2041,248.4828
2042,191.5032
2043,13.1144
2044,347.1745
2045,689.2041
2046,731.5236
2047,846.4154
2048,157.2083
2049,234.8254
2050,127.6881
2051,462.1088
2052,127.7283
2053,249.4595
2054,584.2302
2055,693.9349
2056,349.5736
2057,519.5472
2058,422.8745
2059,594.934
2060,534.6882
2061,390.7431
2062,378.9854
2063,175.5443
2064,70.5717
2065,585.6847
2066,429.4278
2067,201.4981
2068,219.9317
2069,103.0311
2070,47.2308
2071,281.9578
2072,60.3007
2073,291.1958
2074,562.7677
2075,429.8592
2076,482.3201
2077,370.2592
2078,382.0206
2079,263.4593
2081,510.0912
2082,461.5819
2083,273.548
2084,368.3431
2085,453.3029
2086,186.2188
2087,537.3998
2088,420.0953
2089,539.2546
2090,216.1454
2091,344.5568
2092,402.1023
2093,387.9849
2094,175.8614
2095,505.5022
2096,305.278
2097,121.7826
2098,392.6474
2099,500.4851
2100,202.8339
