"Year","Cum_Int"
1986,98.4408
1987,85.2118
1989,20.629
1996,86.0247
1997,130.0902
1998,54.4992
2000,128.9826
2001,101.8019
2004,255.0294
2005,10.5112
2006,80.8539
2007,79.6865
2009,190.6077
2010,453.0742
2011,157.2806
2012,72.7398
2013,186.6703
2014,207.2548
2015,156.1554
2016,118.8056
2017,160.9147
2018,95.29
2020,33.0976
2022,169.5477
2023,43.1544
2025,445.8061
2026,659.3033
2027,743.2068
2028,594.5057
2029,752.3481
2030,395.2194
2031,398.734
2032,189.9191
2033,161.699
2034,302.0227
2035,639.326
2036,412.8409
2037,731.4726
2038,453.2319
2039,871.0176
2040,759.7759
2041,300.4398
2042,788.5887
2043,880.9664
2044,1010.8943
2045,828.3056
2046,300.1785
2047,668.2616
2048,1071.2856
2049,1107.337
2050,767.8628
2051,596.076
2052,391.4182
2053,851.987
2054,750.5977
2055,523.2884
2056,942.2549
2057,993.6865
2058,1121.718
2059,1009.407
2060,1190.8176
2061,1187.564
2062,1030.4977
2063,1063.5053
2064,1401.8898
2065,1398.0595
2066,1398.0595
2067,1398.0595
2068,1401.8898
2069,1398.0595
2070,1398.0595
2071,1398.0595
2072,1401.8898
2073,1398.0595
2074,1398.0595
2075,1398.0595
2076,1401.8898
2077,1392.3255
2078,1639.6895
2079,1639.6895
2080,1644.1818
2081,1639.6895
2082,1639.6895
2083,1639.6895
2084,1644.1818
2085,1639.6895
2086,1639.6895
2087,1639.6895
2088,1644.1818
2089,1639.6895
2090,1639.6895
2091,1639.6895
2092,1644.1818
2093,1639.6895
2094,1639.6895
2095,1639.6895
2096,1644.1818
2097,1639.6895
2098,1639.6895
2099,1639.6895
2100,1639.6895
