"Year","Cum_Int"
1985,6.1836
1989,49.8211
1995,75.2
1996,77.823
1997,31.6451
1998,16.0082
1999,92.3617
2000,26.2528
2002,16.626
2003,149.9232
2004,25.0378
2005,13.3857
2007,43.9613
2008,170.7191
2010,96.5569
2011,189.0413
2012,126.7068
2013,405.0192
2014,106.3196
2015,91.4946
2016,138.8044
2017,55.3147
2018,207.7383
2019,108.5971
2020,132.6114
2021,33.0731
2023,48.6575
2024,160.0371
2025,131.0749
2026,441.7476
2027,383.9234
2028,174.2258
2029,42.8127
2030,210.1721
2031,157.8941
2032,394.8679
2033,345.377
2034,370.8478
2035,222.1252
2036,326.6336
2037,537.033
2038,479.4796
2039,307.5074
2040,123.6132
2041,507.2706
2042,337.8319
2043,429.1473
2044,574.3427
2045,861.4365
2046,861.4365
2047,861.4365
2048,841.0935
2049,864.101
2050,864.101
2051,591.8353
2052,603.1654
2053,361.8689
2054,517.8019
2055,871.517
2056,945.0486
2057,942.4665
2058,942.4665
2059,942.4665
2060,945.0486
2061,942.4665
2062,942.4665
2063,942.4665
2064,945.0486
2065,942.4665
2066,788.6134
2067,863.371
2068,865.7364
2069,784.1162
2070,776.063
2071,776.063
2072,401.5072
2073,554.7795
2074,714.3415
2075,703.4772
2076,668.2512
2077,661.9757
2078,759.8028
2079,989.004
2080,991.7136
2081,989.004
2082,989.004
2083,870.1604
2084,880.5228
2085,878.117
2086,682.4402
2087,634.724
2088,880.2189
2089,919.7635
2090,948.9137
2091,1036.089
2092,1038.9276
2093,1036.089
2094,1036.089
2095,1036.089
2096,1038.9276
2097,880.8864
2098,488.1513
2099,763.1104
2100,827.1265
