"Year","Cum_Int"
1984,15.7102
1987,41.3652
1988,56.1321
1989,22.6745
1992,17.094
1993,9.592
1994,33.7896
1995,23.397
1996,24.966
1997,13.332
1999,7.9175
2001,324.5598
2002,353.5088
2003,13.7357
2004,162.3346
2005,150.3129
2006,13.178
2007,12.8084
2008,112.7021
2009,32.893
2010,7.5594
2011,36.5816
2012,139.8092
2013,52.3386
2014,161.3766
2015,126.3665
2016,29.8612
2017,143.3027
2018,41.9925
2019,325.6794
2020,53.8169
2021,331.2348
2022,579.9762
2023,72.9825
2024,22.3516
2025,11.3448
2026,98.2547
2027,80.8936
2028,318.1043
2029,336.9476
2030,426.6594
2031,210.4322
2032,169.7112
2033,59.0956
2034,97.4564
2035,511.7211
2036,400.2397
2037,765.5138
2038,619.8072
2039,123.7275
2040,305.4677
2041,618.6217
2042,740.2909
2043,851.8479
2044,602.3706
2045,579.7141
2046,580.1418
2047,72.7618
2048,272.1037
2049,652.2049
2050,106.365
2051,368.5493
2052,258.3322
2053,391.5828
2054,30.9649
2055,48.2747
2056,524.1308
2057,185.8713
2058,514.8763
2059,519.8443
2060,501.656
2061,694.7838
2062,604.413
2063,503.2868
2064,612.5911
2065,855.4056
2066,937.5589
2067,1054.5945
2068,996.3709
2069,708.8038
2070,940.605
2071,900.8424
2072,845.668
2073,856.29
2074,772.5636
2075,919.289
2076,921.8076
2077,871.8657
2078,769.0952
2079,494.9176
2080,90.5077
2081,566.9866
2082,704.5815
2083,853.7623
2084,824.814
2085,323.1069
2086,603.0575
2087,763.1108
2088,697.4486
2089,496.8851
2090,1057.843
2091,1014.6233
2092,924.1866
2093,682.3818
2094,915.733
2095,930.02
2096,851.1934
2097,677.315
2098,894.653
2099,802.1104
2100,657.8076
