"Year","Cum_Int"
1983,6.55
1984,30.216
1985,193.9933
1986,7.9083
1988,17.5531
1989,7.2936
1990,240.371
1991,76.4005
1992,63.5135
1993,48.7375
1994,58.4313
1995,157.1804
1996,134.3946
1997,32.853
1998,10.8563
2000,25.2501
2002,12.8021
2003,12.4964
2006,14.99
2007,25.8456
2008,36.178
2009,4.567
2010,41.3025
2011,68.968
2012,112.8944
2013,146.7902
2014,333.544
2015,285.66
2016,74.6586
2017,295.9955
2018,261.2519
2019,578.5561
2020,392.7125
2021,9.8946
2022,553.5114
2023,415.1061
2024,384.0038
2025,132.1332
2026,484.5241
2027,249.0872
2028,58.528
2029,150.1146
2030,246.6053
2031,46.4761
2032,393.474
2033,329.913
2034,322.9628
2035,232.4251
2036,286.784
2037,540.7934
2038,325.6827
2039,219.833
2040,269.6652
2041,137.3611
2042,145.75
2043,768.1435
2044,620.0831
2045,295.0171
2046,485.8111
2047,531.9417
2048,298.849
2049,466.7979
2050,518.9701
2051,687.4087
2052,206.4826
2053,589.5151
2054,538.0363
2055,367.8612
2056,263.1408
2057,251.5887
2058,644.9809
2059,684.4769
2060,373.7415
2061,79.7042
2062,177.6389
2063,131.0226
2064,384.8633
2065,289.9537
2066,447.3519
2067,583.4381
2068,363.7209
2069,590.4858
2070,403.5145
2071,304.0562
2072,356.126
2073,625.3805
2074,672.5906
2075,524.7017
2076,436.4917
2077,171.9485
2078,217.0646
2079,145.2032
2080,268.2601
2081,474.8542
2082,628.8375
2083,638.997
2084,479.6737
2085,320.8024
2086,339.8942
2087,393.5191
2088,405.3207
2089,380.4281
2090,552.1807
2091,477.7822
2092,573.238
2093,258.4257
2094,297.9847
2095,551.814
2096,391.4975
2097,257.0338
2098,217.7015
2099,715.5478
2100,291.4352
