"Year","Cum_Int"
1983,34.2824
1984,259.551
1985,9.2628
1993,84.987
1998,17.5197
1999,25.749
2000,5.2265
2003,22.4199
2004,52.0997
2005,296.0823
2007,36.2516
2008,240.1533
2009,193.911
2011,129.0859
2012,23.9323
2013,18.2532
2014,5.705
2017,86.6686
2018,66.8205
2019,51.3445
2020,21.7032
2021,7.3212
2023,196.1154
2024,370.0238
2025,440.8208
2026,248.815
2027,207.3349
2028,75.3514
2029,485.8556
2030,57.4871
2031,21.1876
2033,66.1668
2035,201.2686
2036,295.4182
2037,236.4043
2038,29.043
2039,14.551
2040,298.8544
2041,326.0626
2042,26.0782
2043,209.9616
2044,263.2319
2045,438.039
2046,276.749
2047,340.8644
2048,389.9496
2049,488.4134
2050,390.3379
2051,651.089
2052,335.8635
2053,493.704
2054,628.4904
2055,709.56
2056,711.504
2057,677.7106
2058,448.0541
2059,422.7986
2060,757.6182
2061,847.53
2062,562.7951
2063,707.203
2064,817.9032
2065,875.9559
2066,597.9979
2067,608.3616
2068,759.194
2069,694.2448
2070,583.5404
2071,461.2919
2072,309.6719
2073,825.6655
2074,812.1108
2075,666.5013
2076,612.0086
2077,781.6386
2078,950.0897
2079,1077.772
2080,1080.7248
2081,1077.772
2082,1077.772
2083,729.8055
2084,813.0584
2085,1183.184
2086,1183.184
2087,1183.184
2088,1186.4256
2089,1183.184
2090,1183.184
2091,1183.184
2092,1186.4256
2093,1183.184
2094,1183.184
2095,1183.184
2096,1186.4256
2097,1183.184
2098,1183.184
2099,1183.184
2100,1183.184
