"Year","Cum_Int"
1983,34.2824
1984,259.551
1985,9.2628
1993,84.987
1998,17.5197
1999,25.749
2000,5.2265
2003,22.4199
2004,52.0997
2005,296.0823
2007,36.2516
2008,240.1533
2009,193.911
2011,129.0859
2012,23.9323
2013,18.2532
2014,5.705
2016,16.3111
2017,49.7245
2018,81.7416
2019,126.7432
2021,84.6313
2022,258.025
2023,54.8822
2025,24.3635
2026,134.475
2027,862.3986
2028,411.4429
2029,439.1124
2030,250.1395
2031,336.0328
2032,444.9066
2033,516.6672
2034,592.3305
2035,53.6215
2036,245.1398
2037,185.3706
2038,419.6256
2039,418.2906
2040,176.6752
2041,287.9406
2042,568.4511
2043,560.0871
2044,456.4366
2045,44.7636
2046,85.0359
2047,320.4954
2048,657.229
2049,401.0963
2050,201.4466
2051,134.3434
2052,181.816
2053,443.9709
2054,407.9077
2055,116.0456
2056,717.4932
2057,508.0239
2058,381.8097
2059,547.8343
2060,474.3682
2061,663.7583
2062,290.9415
2063,61.011
2064,740.502
2065,612.2729
2066,623.434
2067,195.9326
2068,767.157
2069,728.7332
2070,176.7335
2071,329.892
2072,456.4193
2073,423.7068
2074,403.9897
2075,222.5508
2076,378.1586
2077,883.4841
2078,772.8024
2079,429.4926
2080,671.4316
2081,658.7922
2082,658.0248
2083,598.4879
2084,345.5876
2085,126.1027
2086,691.8306
2087,528.6317
2088,615.7732
2089,444.2838
2090,716.3201
2091,589.9544
2092,650.2831
2093,874.2845
2094,760.3285
2095,319.1474
2096,630.0595
2097,292.246
2098,438.7908
2099,451.2885
2100,693.4758
