"Year","Cum_Int"
1984,12.9708
1989,140.7881
1991,44.0199
1999,14.472
2001,8.763
2002,61.9789
2003,235.1763
2004,168.5789
2005,125.42
2008,77.7147
2009,63.7586
2010,120.6368
2011,505.8051
2012,92.1052
2013,157.145
2014,229.252
2015,106.3535
2016,113.8822
2017,193.4721
2018,95.2722
2019,27.5089
2020,132.2561
2021,123.71
2022,63.9915
2023,123.3954
2024,73.1204
2025,155.9359
2026,395.0764
2027,513.8295
2028,573.5047
2029,560.5076
2030,503.2577
2031,662.7316
2032,319.2736
2033,598.5328
2034,878.5666
2035,298.3637
2036,270.9584
2037,152.5254
2038,415.2093
2039,460.0278
2040,654.3312
2041,688.9305
2042,827.7854
2043,381.2224
2044,855.8708
2045,949.1126
2046,490.915
2047,554.4893
2048,755.8044
2049,745.3713
2050,524.9648
2051,919.413
2052,566.6635
2053,625.8766
2054,933.5144
2055,962.9044
2056,978.1812
2057,1105.731
2058,1105.731
2059,881.4252
2060,756.3023
2061,1126.404
2062,441.5437
2063,646.1132
2064,836.2041
2065,875.0145
2066,893.2331
2067,994.406
2068,952.5041
2069,879.7398
2070,972.0315
2071,941.4276
2072,972.5352
2073,931.739
2074,1083.977
2075,1083.977
2076,1086.9468
2077,1083.977
2078,1083.977
2079,1083.977
2080,757.4346
2081,829.1622
2082,823.9982
2083,941.043
2084,678.4114
2085,699.1652
2086,1023.168
2087,1016.975
2088,1057.8498
2089,1054.9595
2090,1054.9595
2091,1065.2446
2092,1146.495
2093,1143.3625
2094,1143.3625
2095,1143.3625
2096,1146.495
2097,1143.3625
2098,1143.3625
2099,1143.3625
2100,1143.3625
