"Year","Cum_Int"
1986,11.0808
1989,202.862
1990,341.5559
1991,209.9622
1992,130.7255
1993,21.7822
1994,22.7499
1995,82.358
1998,40.464
2002,11.5787
2003,57.4341
2004,207.682
2005,17.252
2009,149.8242
2010,28.8558
2012,54.981
2013,91.6421
2014,326.0416
2015,268.2972
2016,251.7722
2017,615.7239
2018,590.5972
2019,363.8784
2020,259.2776
2021,280.4468
2022,89.22
2023,170.1345
2024,111.1882
2025,106.8931
2026,125.5207
2027,114.4858
2028,191.2558
2029,263.7273
2030,234.9599
2031,698.4524
2032,660.2418
2033,695.7713
2034,401.4883
2035,187.3702
2036,396.4293
2037,609.5817
2038,282.0399
2039,174.8567
2040,441.9553
2041,808.1733
2042,254.193
2043,114.6841
2044,275.4607
2045,504.5287
2046,546.5756
2047,734.7191
2048,796.2761
2049,361.5081
2050,449.7474
2051,831.1266
2052,872.4708
2053,587.3787
2054,710.8869
2055,681.7076
2056,519.3889
2057,485.8041
2058,353.3919
2059,708.3241
2060,649.5816
2061,583.1731
2062,396.4794
2063,280.0436
2064,375.0541
2065,420.4986
2066,66.7419
2067,152.8401
2068,718.292
2069,625.4662
2070,642.1546
2071,879.723
2072,646.7097
2073,871.1568
2074,816.4757
2075,483.6405
2076,636.7787
2077,681.4231
2078,657.6521
2079,866.9148
2080,615.0758
2081,663.7478
2082,365.2721
2083,993.8585
2084,925.7948
2085,996.085
2086,840.083
2087,783.0592
2088,1032.669
2089,871.7319
2090,577.8767
2091,452.2784
2092,613.3526
2093,854.4684
2094,941.1208
2095,1029.519
2096,821.8591
2097,910.9116
2098,956.446
2099,779.3872
2100,549.066
