"Year","Cum_Int"
1986,98.4408
1987,85.2118
1989,20.629
1996,86.0247
1997,130.0902
1998,54.4992
2000,128.9826
2001,101.8019
2004,255.0294
2005,10.5112
2006,80.8539
2007,79.6865
2009,190.6077
2010,453.0742
2011,157.2806
2012,72.7398
2013,186.6703
2014,207.2548
2015,11.3274
2016,250.1488
2017,386.2694
2018,502.6595
2019,439.8253
2020,393.9795
2021,68.8702
2022,197.5361
2023,134.1864
2024,54.2349
2025,436
2026,278.1099
2027,523.3937
2028,575.2067
2029,324.7888
2030,636.9868
2031,176.5416
2032,776.8901
2033,495.0576
2034,579.742
2035,521.6206
2036,126.5954
2037,236.8288
2038,580.637
2039,752.5288
2040,315.2682
2041,750.0918
2042,639.9072
2043,537.2183
2044,761.9612
2045,333.7963
2046,320.7709
2047,598.7444
2048,512.0853
2049,334.1108
2050,250.8821
2051,891.6627
2052,580.531
2053,645.4407
2054,731.3202
2055,808.4574
2056,961.4724
2057,809.7464
2058,622.6309
2059,990.6278
2060,1105.869
2061,1007.76
2062,1043.9379
2063,1099.4895
2064,1037.1978
2065,1013.4225
2066,723.5925
2067,987.1425
2068,966.1158
2069,640.4605
2070,583.4606
2071,1193.8707
2072,1203.7374
2073,1200.4485
2074,1200.4485
2075,1200.4485
2076,1203.7374
2077,1200.4485
2078,1141.6198
2079,1019.6275
2080,780.2383
2081,423.0208
2082,935.6267
2083,1040.805
2084,1085.922
2085,1003.88
2086,768.9759
2087,729.6312
2088,867.673
2089,333.7407
2090,1031.7456
2091,771.4968
2092,1182.546
2093,1179.315
2094,1179.315
2095,1179.315
2096,1182.546
2097,1179.315
2098,1179.315
2099,1179.315
2100,1179.315
