"Year","Cum_Int"
1983,242.0049
1984,234.47
1986,29.4094
1987,4.5172
1988,27.3904
1989,10.3288
1990,34.4966
1992,230.9097
1993,24.7014
1994,19.195
1995,33.0228
1996,34.3311
1997,338.8137
1998,159.2894
2000,31.0556
2001,6.7965
2005,14.1108
2006,98.8636
2007,11.8208
2008,13.6738
2009,20.0759
2012,49.5627
2013,51.7059
2014,465.5917
2015,684.5196
2016,290.3418
2017,129.3523
2018,229.5525
