"species","r_mean","r_median","k_mean","k_median","fmsy_mean","fmsy_lo"
"Abalones",0.107116254104298,0.0562783865489704,32182.5292466319,23540.7303009903,0.233249360591424,0.0791609481594468
"Cucumbers",0.73534717787925,0.710211480322559,2188.88692000675,1861.15614628828,0.379786061612484,0.204815197800472
"Lobster",0.13684572828624,0.0823568235497898,406091.445445319,242932.27571117,0.233249360591424,0.0791609481594468
"Sandbass",0.226267949782019,0.111970091378868,312911.483902214,154995.146206819,0.242162284477681,0.0812156610319465
"Sheephead",0.249971199456443,0.10964812485474,26836.4913877069,10832.298779111,0.242162284477681,0.0812156610319465
"Urchins",0.218988664640579,0.10799502882905,562772.850063761,284979.704507592,0.242162284477681,0.0812156610319465
NA,0.210937734211216,0.104559625471454,103734.039405611,52444.0440642798,0.242162284477681,0.0812156610319465
