"species","r_mean","r_median","k_mean","k_median","fmsy_mean","fmsy_lo"
"Abalones",0.0823435689317704,0.0444536907536827,25076.1179857954,16769.5203073376,0.224664482058611,0.0771582184258486
"Cucumbers",0.634606790664562,0.571392114973545,2499.53001195953,2215.13766798043,0.370409110340859,0.195069927807601
"Lobster",0.128801368159306,0.0794448191170977,418396.564290966,251924.186795361,0.242162284477681,0.0812156610319465
"Sandbass",0.229076504211085,0.106614157598253,324909.124044015,165865.405540446,0.242162284477681,0.0812156610319465
"Sheephead",0.240379139038902,0.114546262020923,30312.9194395121,13349.3367800276,0.242162284477681,0.0812156610319465
"Urchins",0.229858956360244,0.104931539202055,563003.93791558,277835.025355019,0.242162284477681,0.0812156610319465
NA,0.235225589571089,0.110572870700375,104164.047270808,50250.5108118453,0.242162284477681,0.0812156610319465
