"species","r_mean","r_median","k_mean","k_median","fmsy_mean","fmsy_lo"
"Abalones",0.0753866442221748,0.0522685400150682,20070.0612908132,14032.2938620507,0.183939720585721,0.0678370223600601
"Cucumbers",0.0755626757901169,0.0528297788105025,22423.1335408859,15458.7313725397,0.193370511727251,0.0630140740097431
"Flatfish",0.214307192380383,0.0918693912667848,108087.856687451,51910.8301938227,0.242162284477681,0.0812156610319465
"Lobster",0.104263474839309,0.0680103656046148,462081.488450504,293470.635265041,0.233249360591424,0.0791609481594468
"Sandbass",0.22444235995412,0.0972209420587736,312675.798755423,146324.019282106,0.242162284477681,0.0812156610319465
"Sheephead",0.247964557884338,0.100726555678253,29449.2308695537,12501.0818499773,0.242162284477681,0.0812156610319465
"Urchins",0.227733640495041,0.0812412006536223,210007.131353007,137109.295811861,0.233249360591424,0.0791609481594468
